iteration,mean_reward,max_reward,min_reward,mean_length,episode_count,timesteps,timestamp
1,-2.5883577,0.96,-10.08,6.892575039494471,14559,100000,2025-04-18 15:29:57
2,-0.61994374,9.99,-10.04,3.9222951844903062,25584,100000,2025-04-18 15:34:11
3,6.3785706,9.99,-10.04,3.342771485676216,30020,100000,2025-04-18 15:38:45
4,7.522924,9.99,-10.04,3.6899176349463154,27196,100000,2025-04-18 15:42:58
5,8.109621,9.99,-10.04,3.0553221288515404,32844,100000,2025-04-18 15:46:59
6,7.427518,9.99,-10.04,3.4160539215686274,29376,100000,2025-04-18 15:51:19
7,8.423397,9.99,-10.04,2.7282168393007638,36783,100000,2025-04-18 15:55:40
8,8.787628,9.99,-10.04,2.6399389682477046,38013,100000,2025-04-18 16:00:19
9,8.553998,9.99,-10.04,3.0430906389301633,32977,100000,2025-04-18 16:04:20
10,8.166804,9.99,-10.04,3.2234749927724775,31131,100000,2025-04-18 16:08:13
